Scope,Regime,Model,Horizon,Accuracy,Precision,Recall,F1,ROC_AUC
global,ALL,XGBoost,t+1,0.5018481182795699,0.4994787141615986,0.4852295746117488,0.4922510488911722,0.5068284918612345
global,ALL,Transformer,t+1,0.501008064516129,0.4890560875512996,0.06034773801485483,0.10743801652892562,0.5147794443102035
global,ALL,XGBoost,t+3,0.49642857142857144,0.49666546503244413,0.46822429906542057,0.4820257150354238,0.4954486704387281
global,ALL,Transformer,t+3,0.5043792517006803,0.5094150974837527,0.2597281223449448,0.34404366664790953,0.5063880836602253
global,ALL,XGBoost,t+5,0.5032150205761317,0.5164401245348925,0.5657128597571119,0.5399547457425271,0.500388564711379
global,ALL,Transformer,t+5,0.4861539780521262,0.5092445853143159,0.08018632507070371,0.13855551563061444,0.496766122477916
regime-specific,LOW,XGBoost,t+1,0.4967193718403786,0.49015748031496065,0.5437868530246779,0.5155813231183353,0.5054068692422538
regime-specific,LOW,Transformer,t+1,0.5039259976336453,0.48152295632698766,0.09390696658659096,0.15716374269005848,0.5059556635657504
regime-specific,LOW,XGBoost,t+3,0.49313563975837454,0.48570857485508695,0.5433810375670841,0.5129287598944591,0.4964227133880882
regime-specific,LOW,Transformer,t+3,0.5060955518945635,0.4570446735395189,0.029740608228980323,0.05584715515431451,0.49858179363491356
regime-specific,LOW,XGBoost,t+5,0.48714238005120786,0.493964541682384,0.5764913053048646,0.5320467242254951,0.4835782403579014
regime-specific,LOW,Transformer,t+5,0.491817878214405,0.4662576687116564,0.03345806735637244,0.06243581844321216,0.5065073878633201
regime-specific,MEDIUM,XGBoost,t+1,0.49453978159126366,0.48632755072037637,0.435836627140975,0.45969983324068925,0.49579917391946715
regime-specific,MEDIUM,Transformer,t+1,0.500910036401456,0.46153846153846156,0.06956521739130435,0.12090680100755667,0.5000814450357577
regime-specific,MEDIUM,XGBoost,t+3,0.49717884792022043,0.489247311827957,0.4603301384451544,0.47434842249657067,0.49645496916016735
regime-specific,MEDIUM,Transformer,t+3,0.4828762629576171,0.45758826226501603,0.2657082002129925,0.33619673235640896,0.4794892725326412
regime-specific,MEDIUM,XGBoost,t+5,0.5124240021147237,0.5247524752475248,0.4274193548387097,0.4711111111111111,0.507975645835069
regime-specific,MEDIUM,Transformer,t+5,0.48929421094369546,0.49693815064298835,0.42221644120707597,0.45654008438818566,0.48378010546733685
regime-specific,HIGH,XGBoost,t+1,0.5178178618565772,0.5308355437665783,0.4608520437535982,0.4933744221879815,0.5218238324757993
regime-specific,HIGH,Transformer,t+1,0.5188444053380261,0.5206328843275604,0.7009211283822683,0.5974727027358606,0.5221391365109853
regime-specific,HIGH,XGBoost,t+3,0.5232558139534884,0.5535903784931022,0.4418407679277245,0.4914429266760873,0.5348888370306628
regime-specific,HIGH,Transformer,t+3,0.5378274948483956,0.5544715447154471,0.577639751552795,0.5658185840707964,0.5485131679380035
regime-specific,HIGH,XGBoost,t+5,0.5083345626198554,0.5532064834390416,0.43191196698762035,0.4850919202842577,0.5154414775769922
regime-specific,HIGH,Transformer,t+5,0.5289865761911786,0.5537451361867705,0.6264099037138927,0.5878404543694333,0.5349360892650266
